fecha;descripcion;monto;tipo;categoria;cuenta;anio;mes;mes_nombre
2018-01-25;Internet Service Provider;69,99;gasto;Internet;Checking;2018;1;January
2018-01-29;Shell;30,42;gasto;Gas & Fuel;Silver Card;2018;1;January
2018-01-29;Thai Restaurant;25,0;gasto;Restaurants;Silver Card;2018;1;January
2018-01-29;Brunch Restaurant;17,62;gasto;Restaurants;Platinum Card;2018;1;January
2018-02-01;Grocery Store;27,79;gasto;Groceries;Platinum Card;2018;2;February
2018-02-01;Amazon;11,11;gasto;Shopping;Platinum Card;2018;2;February
2018-02-02;Mortgage Payment;1247,44;gasto;Mortgage & Rent;Checking;2018;2;February
2018-02-02;Biweekly Paycheck;2000,0;ingreso;Paycheck;Checking;2018;2;February
2018-02-03;Japanese Restaurant;57,02;gasto;Restaurants;Platinum Card;2018;2;February
2018-02-04;Netflix;11,76;gasto;Movies & DVDs;Platinum Card;2018;2;February
2018-02-05;Credit Card Payment;145,14;ingreso;Credit Card Payment;Platinum Card;2018;2;February
2018-02-06;Credit Card Payment;154,13;ingreso;Credit Card Payment;Silver Card;2018;2;February
2018-02-07;Credit Card Payment;154,13;gasto;Credit Card Payment;Checking;2018;2;February
2018-02-07;Gas Company;65,0;gasto;Utilities;Checking;2018;2;February
2018-02-09;Barbershop;30,0;gasto;Haircut;Platinum Card;2018;2;February
2018-02-09;Spotify;10,69;gasto;Music;Platinum Card;2018;2;February
2018-02-10;Bojangles;10,66;gasto;Fast Food;Platinum Card;2018;2;February
2018-02-11;Fancy Restaurant;106,8;gasto;Restaurants;Platinum Card;2018;2;February
2018-02-12;Shell;36,47;gasto;Gas & Fuel;Silver Card;2018;2;February
2018-02-12;Phone Company;89,52;gasto;Mobile Phone;Checking;2018;2;February
2018-02-14;Brewing Company;14,0;gasto;Alcohol & Bars;Silver Card;2018;2;February
2018-02-15;American Tavern;10,0;gasto;Restaurants;Platinum Card;2018;2;February
2018-02-15;Power Company;60,0;gasto;Utilities;Checking;2018;2;February
2018-02-16;Biweekly Paycheck;2000,0;ingreso;Paycheck;Checking;2018;2;February
2018-02-16;Brunch Restaurant;8,0;gasto;Restaurants;Silver Card;2018;2;February
2018-02-16;City Water Charges;35,0;gasto;Utilities;Checking;2018;2;February
2018-02-20;Grocery Store;35,95;gasto;Groceries;Silver Card;2018;2;February
2018-02-20;Mexican Restaurant;23,51;gasto;Restaurants;Silver Card;2018;2;February
2018-02-21;Starbucks;2,0;gasto;Coffee Shops;Platinum Card;2018;2;February
2018-02-22;Starbucks;4,0;gasto;Coffee Shops;Silver Card;2018;2;February
2018-02-26;Credit Card Payment;765,37;ingreso;Credit Card Payment;Platinum Card;2018;2;February
2018-02-26;Credit Card Payment;156,11;ingreso;Credit Card Payment;Silver Card;2018;2;February
2018-02-26;Credit Card Payment;765,37;gasto;Credit Card Payment;Checking;2018;2;February
2018-02-26;Internet Service Provider;74,99;gasto;Internet;Checking;2018;2;February
2018-02-26;American Tavern;85,52;gasto;Restaurants;Silver Card;2018;2;February
2018-02-26;Gas Station;32,21;gasto;Gas & Fuel;Silver Card;2018;2;February
2018-02-27;Credit Card Payment;156,11;gasto;Credit Card Payment;Checking;2018;2;February
2018-03-01;Grocery Store;32,07;gasto;Groceries;Silver Card;2018;3;March
2018-03-01;Amazon;13,13;gasto;Shopping;Platinum Card;2018;3;March
2018-03-02;Mortgage Payment;1247,44;gasto;Mortgage & Rent;Checking;2018;3;March
2018-03-02;Biweekly Paycheck;2000,0;ingreso;Paycheck;Checking;2018;3;March
2018-03-03;Grocery Store;23,74;gasto;Groceries;Silver Card;2018;3;March
2018-03-04;Grocery Store;10,69;gasto;Groceries;Platinum Card;2018;3;March
2018-03-04;Netflix;11,76;gasto;Movies & DVDs;Platinum Card;2018;3;March
2018-03-04;BBQ Restaurant;42,24;gasto;Restaurants;Platinum Card;2018;3;March
2018-03-05;Starbucks;3,0;gasto;Coffee Shops;Platinum Card;2018;3;March
2018-03-05;Credit Card Payment;761,59;ingreso;Credit Card Payment;Silver Card;2018;3;March
2018-03-05;Credit Card Payment;761,59;gasto;Credit Card Payment;Checking;2018;3;March
2018-03-07;Starbucks;3,5;gasto;Coffee Shops;Platinum Card;2018;3;March
2018-03-08;BP;34,9;gasto;Gas & Fuel;Platinum Card;2018;3;March
2018-03-08;Gas Company;52,0;gasto;Utilities;Checking;2018;3;March
2018-03-09;Grocery Store;20,72;gasto;Groceries;Platinum Card;2018;3;March
2018-03-09;Grocery Store;5,09;gasto;Groceries;Platinum Card;2018;3;March
2018-03-09;Spotify;10,69;gasto;Music;Platinum Card;2018;3;March
2018-03-12;Grocery Store;19,35;gasto;Groceries;Platinum Card;2018;3;March
2018-03-12;Phone Company;89,52;gasto;Mobile Phone;Checking;2018;3;March
2018-03-13;Amazon;45,75;gasto;Shopping;Platinum Card;2018;3;March
2018-03-14;Grocery Store;22,5;gasto;Groceries;Platinum Card;2018;3;March
2018-03-14;Brunch Restaurant;8,49;gasto;Restaurants;Platinum Card;2018;3;March
2018-03-15;Starbucks;3,5;gasto;Coffee Shops;Platinum Card;2018;3;March
2018-03-15;Power Company;60,0;gasto;Utilities;Checking;2018;3;March
2018-03-16;Biweekly Paycheck;2000,0;ingreso;Paycheck;Checking;2018;3;March
2018-03-17;Brewing Company;19,5;gasto;Alcohol & Bars;Silver Card;2018;3;March
2018-03-17;Pizza Place;23,34;gasto;Fast Food;Platinum Card;2018;3;March
2018-03-19;Mediterranean Restaurant;36,48;gasto;Restaurants;Silver Card;2018;3;March
2018-03-19;City Water Charges;35,0;gasto;Utilities;Checking;2018;3;March
2018-03-20;Amazon;14,97;gasto;Shopping;Platinum Card;2018;3;March
2018-03-22;BP;30,55;gasto;Gas & Fuel;Silver Card;2018;3;March
2018-03-23;Credit Card Payment;559,91;ingreso;Credit Card Payment;Platinum Card;2018;3;March
2018-03-23;Credit Card Payment;559,91;gasto;Credit Card Payment;Checking;2018;3;March
2018-03-23;Grocery Store;11,76;gasto;Groceries;Silver Card;2018;3;March
2018-03-26;Internet Service Provider;74,99;gasto;Internet;Checking;2018;3;March
2018-03-28;Grocery Store;16,06;gasto;Groceries;Silver Card;2018;3;March
2018-03-28;Pizza Place;24,98;gasto;Restaurants;Silver Card;2018;3;March
2018-03-29;Steakhouse;17,64;gasto;Restaurants;Silver Card;2018;3;March
2018-03-30;Grocery Store;9,09;gasto;Groceries;Silver Card;2018;3;March
2018-03-30;Biweekly Paycheck;2000,0;ingreso;Paycheck;Checking;2018;3;March
2018-03-31;Belgian Restaurant;38,32;gasto;Restaurants;Platinum Card;2018;3;March
2018-03-31;Chili's;24,74;gasto;Restaurants;Platinum Card;2018;3;March
2018-03-31;Greek Restaurant;41,16;gasto;Restaurants;Silver Card;2018;3;March
2018-04-01;Grocery Store;80,79;gasto;Groceries;Platinum Card;2018;4;April
2018-04-01;Brewing Company;59,48;gasto;Restaurants;Platinum Card;2018;4;April
2018-04-01;Amazon;13,13;gasto;Shopping;Platinum Card;2018;4;April
2018-04-02;Credit Card Payment;817,14;ingreso;Credit Card Payment;Silver Card;2018;4;April
2018-04-02;Credit Card Payment;817,14;gasto;Credit Card Payment;Checking;2018;4;April
2018-04-02;Grocery Store;82,36;gasto;Groceries;Platinum Card;2018;4;April
2018-04-02;Hardware Store;13,89;gasto;Home Improvement;Platinum Card;2018;4;April
2018-04-02;Mortgage Payment;1247,44;gasto;Mortgage & Rent;Checking;2018;4;April
2018-04-03;Amazon Video;6,41;gasto;Movies & DVDs;Platinum Card;2018;4;April
2018-04-04;Credit Card Payment;363,08;ingreso;Credit Card Payment;Platinum Card;2018;4;April
2018-04-04;Credit Card Payment;363,08;gasto;Credit Card Payment;Checking;2018;4;April
2018-04-04;Netflix;11,76;gasto;Movies & DVDs;Platinum Card;2018;4;April
2018-04-06;Chevron;4,58;gasto;Gas & Fuel;Platinum Card;2018;4;April
2018-04-06;Tiny Deli;9,76;gasto;Restaurants;Platinum Card;2018;4;April
2018-04-08;Irish Pub;22,0;gasto;Restaurants;Platinum Card;2018;4;April
2018-04-09;Blue Sky Market;6,48;gasto;Groceries;Silver Card;2018;4;April
2018-04-09;Spotify;10,69;gasto;Music;Platinum Card;2018;4;April
2018-04-09;Gas Company;30,0;gasto;Utilities;Checking;2018;4;April
2018-04-11;Phone Company;89,52;gasto;Mobile Phone;Checking;2018;4;April
2018-04-12;Starbucks;7,0;gasto;Coffee Shops;Platinum Card;2018;4;April
2018-04-12;Barbershop;30,0;gasto;Haircut;Platinum Card;2018;4;April
2018-04-13;BP;37,98;gasto;Gas & Fuel;Platinum Card;2018;4;April
2018-04-13;Biweekly Paycheck;2000,0;ingreso;Paycheck;Checking;2018;4;April
2018-04-13;American Tavern;10,66;gasto;Restaurants;Platinum Card;2018;4;April
2018-04-14;Hardware Store;11,61;gasto;Home Improvement;Platinum Card;2018;4;April
2018-04-14;American Tavern;41,0;gasto;Restaurants;Platinum Card;2018;4;April
2018-04-16;State Farm;75,0;gasto;Auto Insurance;Checking;2018;4;April
2018-04-16;City Water Charges;35,0;gasto;Utilities;Checking;2018;4;April
2018-04-18;Power Company;60,0;gasto;Utilities;Checking;2018;4;April
2018-04-20;Thai Restaurant;24,22;gasto;Restaurants;Silver Card;2018;4;April
2018-04-21;Grocery Store;4,32;gasto;Groceries;Silver Card;2018;4;April
2018-04-21;American Tavern;35,15;gasto;Restaurants;Silver Card;2018;4;April
2018-04-22;Grocery Store;21,32;gasto;Groceries;Platinum Card;2018;4;April
2018-04-23;Hardware Store;42,7;gasto;Home Improvement;Silver Card;2018;4;April
2018-04-24;Hardware Store;224,7;gasto;Home Improvement;Platinum Card;2018;4;April
2018-04-24;Amazon;41,34;gasto;Shopping;Platinum Card;2018;4;April
2018-04-25;Hardware Store;210,79;gasto;Home Improvement;Silver Card;2018;4;April
2018-04-25;Internet Service Provider;74,99;gasto;Internet;Checking;2018;4;April
2018-04-26;Credit Card Payment;769,72;ingreso;Credit Card Payment;Silver Card;2018;4;April
2018-04-26;Credit Card Payment;1216,94;ingreso;Credit Card Payment;Platinum Card;2018;4;April
2018-04-26;Credit Card Payment;1216,94;gasto;Credit Card Payment;Checking;2018;4;April
2018-04-27;Credit Card Payment;769,72;gasto;Credit Card Payment;Checking;2018;4;April
2018-04-27;Biweekly Paycheck;2000,0;ingreso;Paycheck;Checking;2018;4;April
2018-04-28;Grocery Store;22,98;gasto;Groceries;Silver Card;2018;4;April
2018-04-29;QuikTrip;39,0;gasto;Gas & Fuel;Platinum Card;2018;4;April
2018-04-29;Grocery Store;51,05;gasto;Groceries;Platinum Card;2018;4;April
2018-04-29;Hardware Store;68,47;gasto;Home Improvement;Platinum Card;2018;4;April
2018-04-30;Grocery Store;5,09;gasto;Groceries;Platinum Card;2018;4;April
2018-05-01;Amazon;13,13;gasto;Shopping;Platinum Card;2018;5;May
2018-05-02;Mortgage Payment;1247,44;gasto;Mortgage & Rent;Checking;2018;5;May
2018-05-03;Amazon;49,72;gasto;Shopping;Platinum Card;2018;5;May
2018-05-04;Grocery Store;42,23;gasto;Groceries;Platinum Card;2018;5;May
2018-05-04;Netflix;11,76;gasto;Movies & DVDs;Platinum Card;2018;5;May
2018-05-05;Bojangles;7,27;gasto;Fast Food;Platinum Card;2018;5;May
2018-05-05;Pizza Place;20,52;gasto;Fast Food;Platinum Card;2018;5;May
2018-05-06;Hardware Store;22,37;gasto;Home Improvement;Platinum Card;2018;5;May
2018-05-06;Amazon;117,69;gasto;Shopping;Platinum Card;2018;5;May
2018-05-09;Credit Card Payment;601,4;ingreso;Credit Card Payment;Platinum Card;2018;5;May
2018-05-09;Credit Card Payment;601,4;gasto;Credit Card Payment;Checking;2018;5;May
2018-05-09;Spotify;10,69;gasto;Music;Platinum Card;2018;5;May
2018-05-09;Gas Company;30,0;gasto;Utilities;Checking;2018;5;May
2018-05-10;Phone Company;111,18;gasto;Mobile Phone;Checking;2018;5;May
2018-05-11;Grocery Store;57,32;gasto;Groceries;Platinum Card;2018;5;May
2018-05-11;Biweekly Paycheck;2000,0;ingreso;Paycheck;Checking;2018;5;May
2018-05-11;Mike's Construction Co.;8000,0;gasto;Home Improvement;Checking;2018;5;May
2018-05-12;Liquor Store;27,77;gasto;Alcohol & Bars;Platinum Card;2018;5;May
2018-05-12;Shell;33,3;gasto;Gas & Fuel;Platinum Card;2018;5;May
2018-05-12;Fancy Restaurant;78,0;gasto;Restaurants;Platinum Card;2018;5;May
2018-05-14;Grocery Store;67,63;gasto;Groceries;Silver Card;2018;5;May
2018-05-15;Power Company;60,0;gasto;Utilities;Checking;2018;5;May
2018-05-17;Barbershop;29,0;gasto;Haircut;Silver Card;2018;5;May
2018-05-17;City Water Charges;35,0;gasto;Utilities;Checking;2018;5;May
2018-05-18;State Farm;75,0;gasto;Auto Insurance;Checking;2018;5;May
2018-05-18;Amazon;6,41;gasto;Shopping;Platinum Card;2018;5;May
2018-05-19;Credit Card Payment;207,08;ingreso;Credit Card Payment;Platinum Card;2018;5;May
2018-05-19;Grocery Store;31,0;gasto;Groceries;Silver Card;2018;5;May
2018-05-19;Greek Restaurant;23,26;gasto;Restaurants;Silver Card;2018;5;May
2018-05-21;Credit Card Payment;283,07;ingreso;Credit Card Payment;Silver Card;2018;5;May
2018-05-21;Thai Restaurant;26,04;gasto;Restaurants;Silver Card;2018;5;May
2018-05-21;Amazon;32,5;gasto;Shopping;Platinum Card;2018;5;May
2018-05-22;Credit Card Payment;283,07;gasto;Credit Card Payment;Checking;2018;5;May
2018-05-24;BP;39,44;gasto;Gas & Fuel;Silver Card;2018;5;May
2018-05-25;Internet Service Provider;74,99;gasto;Internet;Checking;2018;5;May
2018-05-25;Biweekly Paycheck;2000,0;ingreso;Paycheck;Checking;2018;5;May
2018-05-28;Movie Theater;9,62;gasto;Entertainment;Silver Card;2018;5;May
2018-05-28;Grocery Store;91,03;gasto;Groceries;Silver Card;2018;5;May
2018-05-29;Movie Theater;20,0;gasto;Movies & DVDs;Silver Card;2018;5;May
2018-05-29;Movie Theater;6,25;gasto;Movies & DVDs;Silver Card;2018;5;May
2018-06-01;BP;38,63;gasto;Gas & Fuel;Platinum Card;2018;6;June
2018-06-01;Grocery Store;6,11;gasto;Groceries;Platinum Card;2018;6;June
2018-06-01;Amazon;13,13;gasto;Shopping;Platinum Card;2018;6;June
2018-06-02;Credit Card Payment;235,18;ingreso;Credit Card Payment;Silver Card;2018;6;June
2018-06-02;Credit Card Payment;466,36;ingreso;Credit Card Payment;Platinum Card;2018;6;June
2018-06-03;Italian Restaurant;65,81;gasto;Restaurants;Platinum Card;2018;6;June
2018-06-04;Credit Card Payment;235,18;gasto;Credit Card Payment;Checking;2018;6;June
2018-06-04;Grocery Store;24,12;gasto;Groceries;Platinum Card;2018;6;June
2018-06-04;Mortgage Payment;1247,44;gasto;Mortgage & Rent;Checking;2018;6;June
2018-06-04;Netflix;11,76;gasto;Movies & DVDs;Platinum Card;2018;6;June
2018-06-06;Starbucks;4,0;gasto;Coffee Shops;Platinum Card;2018;6;June
2018-06-08;Biweekly Paycheck;2000,0;ingreso;Paycheck;Checking;2018;6;June
2018-06-08;Gas Company;30,0;gasto;Utilities;Checking;2018;6;June
2018-06-09;Chick-Fil-A;16,18;gasto;Fast Food;Platinum Card;2018;6;June
2018-06-09;Grocery Store;9,56;gasto;Groceries;Platinum Card;2018;6;June
2018-06-09;Spotify;10,69;gasto;Music;Platinum Card;2018;6;June
2018-06-10;Grocery Store;46,01;gasto;Groceries;Platinum Card;2018;6;June
2018-06-12;Grocery Store;12,55;gasto;Groceries;Platinum Card;2018;6;June
2018-06-12;Phone Company;89,46;gasto;Mobile Phone;Checking;2018;6;June
2018-06-14;Credit Card Payment;283,44;ingreso;Credit Card Payment;Platinum Card;2018;6;June
2018-06-14;Credit Card Payment;283,44;gasto;Credit Card Payment;Checking;2018;6;June
2018-08-11;Valero;33,66;gasto;Gas & Fuel;Platinum Card;2018;8;August
2018-06-14;Grocery Store;7,02;gasto;Groceries;Platinum Card;2018;6;June
2018-06-15;Power Company;60,0;gasto;Utilities;Checking;2018;6;June
2018-06-16;Starbucks;3,0;gasto;Coffee Shops;Platinum Card;2018;6;June
2018-06-16;Pizza Place;22,66;gasto;Fast Food;Platinum Card;2018;6;June
2018-06-16;Grocery Store;13,9;gasto;Groceries;Platinum Card;2018;6;June
2018-06-18;City Water Charges;35,0;gasto;Utilities;Checking;2018;6;June
2018-06-19;Shell;38,52;gasto;Gas & Fuel;Platinum Card;2018;6;June
2018-06-19;Grocery Store;2,69;gasto;Groceries;Platinum Card;2018;6;June
2018-06-20;State Farm;75,0;gasto;Auto Insurance;Checking;2018;6;June
2018-06-20;Credit Card Payment;89,45;ingreso;Credit Card Payment;Silver Card;2018;6;June
2018-06-20;Barbershop;30,0;gasto;Haircut;Silver Card;2018;6;June
2018-06-21;Credit Card Payment;89,45;gasto;Credit Card Payment;Checking;2018;6;June
2018-06-22;Biweekly Paycheck;2000,0;ingreso;Paycheck;Checking;2018;6;June
2018-06-23;Brunch Restaurant;8,5;gasto;Restaurants;Silver Card;2018;6;June
2018-06-23;Amazon;74,97;gasto;Shopping;Platinum Card;2018;6;June
2018-06-25;Credit Card Payment;942,76;ingreso;Credit Card Payment;Platinum Card;2018;6;June
2018-06-25;Credit Card Payment;942,76;gasto;Credit Card Payment;Checking;2018;6;June
2018-06-25;Internet Service Provider;74,99;gasto;Internet;Checking;2018;6;June
2018-06-26;Grocery Store;9,62;gasto;Groceries;Silver Card;2018;6;June
2018-06-27;Starbucks;3,5;gasto;Coffee Shops;Silver Card;2018;6;June
2018-06-27;Pizza Place;22,66;gasto;Fast Food;Platinum Card;2018;6;June
2018-06-28;Grocery Store;7,57;gasto;Groceries;Silver Card;2018;6;June
2018-07-01;Amazon;13,13;gasto;Shopping;Platinum Card;2018;7;July
2018-07-02;Mortgage Payment;1247,44;gasto;Mortgage & Rent;Checking;2018;7;July
2018-07-02;Movie Theater;25,0;gasto;Movies & DVDs;Silver Card;2018;7;July
2018-07-02;American Tavern;36,44;gasto;Restaurants;Silver Card;2018;7;July
2018-07-04;BP;34,48;gasto;Gas & Fuel;Silver Card;2018;7;July
2018-07-04;Netflix;11,76;gasto;Movies & DVDs;Platinum Card;2018;7;July
2018-07-05;Grocery Store;44,25;gasto;Groceries;Silver Card;2018;7;July
2018-07-05;Amazon;212,32;gasto;Shopping;Platinum Card;2018;7;July
2018-07-06;Amazon Video;6,41;gasto;Movies & DVDs;Platinum Card;2018;7;July
2018-07-06;Biweekly Paycheck;2000,0;ingreso;Paycheck;Checking;2018;7;July
2018-07-08;Credit Card Payment;259,87;ingreso;Credit Card Payment;Platinum Card;2018;7;July
2018-07-09;Credit Card Payment;242,16;ingreso;Credit Card Payment;Silver Card;2018;7;July
2018-07-09;Credit Card Payment;259,87;gasto;Credit Card Payment;Checking;2018;7;July
2018-07-09;Spotify;10,69;gasto;Music;Platinum Card;2018;7;July
2018-07-10;Credit Card Payment;242,16;gasto;Credit Card Payment;Checking;2018;7;July
2018-07-10;Grocery Store;5,39;gasto;Groceries;Silver Card;2018;7;July
2018-07-10;Gas Company;30,0;gasto;Utilities;Checking;2018;7;July
2018-07-11;Phone Company;89,46;gasto;Mobile Phone;Checking;2018;7;July
2018-07-14;Go Mart;33,51;gasto;Gas & Fuel;Silver Card;2018;7;July
2018-07-15;Circle K;36,24;gasto;Gas & Fuel;Platinum Card;2018;7;July
2018-07-17;Wendy's;15,23;gasto;Fast Food;Silver Card;2018;7;July
2018-07-17;City Water Charges;35,0;gasto;Utilities;Checking;2018;7;July
2018-07-17;Power Company;60,0;gasto;Utilities;Checking;2018;7;July
2018-07-18;Irish Restaurant;28,54;gasto;Alcohol & Bars;Platinum Card;2018;7;July
2018-07-18;State Farm;75,0;gasto;Auto Insurance;Checking;2018;7;July
2018-07-20;Credit Card Payment;61,43;ingreso;Credit Card Payment;Silver Card;2018;7;July
2018-07-20;Credit Card Payment;102,88;ingreso;Credit Card Payment;Platinum Card;2018;7;July
2018-07-20;Credit Card Payment;102,88;gasto;Credit Card Payment;Checking;2018;7;July
2018-07-20;Biweekly Paycheck;2000,0;ingreso;Paycheck;Checking;2018;7;July
2018-07-21;Grocery Store;28,93;gasto;Groceries;Platinum Card;2018;7;July
2018-07-21;Barbershop;30,0;gasto;Haircut;Platinum Card;2018;7;July
2018-07-23;Credit Card Payment;61,43;gasto;Credit Card Payment;Checking;2018;7;July
2018-07-23;Starbucks;9,58;gasto;Fast Food;Platinum Card;2018;7;July
2018-07-24;American Tavern;26,59;gasto;Restaurants;Platinum Card;2018;7;July
2018-07-25;Internet Service Provider;74,99;gasto;Internet;Checking;2018;7;July
2018-07-26;Conoco;33,67;gasto;Gas & Fuel;Silver Card;2018;7;July
2018-07-28;Grocery Store;7,61;gasto;Groceries;Silver Card;2018;7;July
2018-07-30;American Tavern;34,38;gasto;Restaurants;Silver Card;2018;7;July
2018-07-31;Brewing Company;6,6;gasto;Alcohol & Bars;Silver Card;2018;7;July
2018-08-01;Amazon;13,13;gasto;Shopping;Platinum Card;2018;8;August
2018-08-02;Credit Card Payment;816,27;ingreso;Credit Card Payment;Platinum Card;2018;8;August
2018-08-02;Shell;40,44;gasto;Gas & Fuel;Silver Card;2018;8;August
2018-08-02;Mortgage Payment;1247,44;gasto;Mortgage & Rent;Checking;2018;8;August
2018-08-03;Grocery Store;6,27;gasto;Groceries;Silver Card;2018;8;August
2018-08-03;Biweekly Paycheck;2000,0;ingreso;Paycheck;Checking;2018;8;August
2018-08-04;Netflix;11,76;gasto;Movies & DVDs;Platinum Card;2018;8;August
2018-08-06;Amazon;76,47;gasto;Shopping;Platinum Card;2018;8;August
2018-08-09;Spotify;10,69;gasto;Music;Platinum Card;2018;8;August
2018-08-09;Gas Company;30,0;gasto;Utilities;Checking;2018;8;August
2018-08-10;Phone Company;89,4;gasto;Mobile Phone;Checking;2018;8;August
2018-08-11;Chick-Fil-A;13,67;gasto;Fast Food;Platinum Card;2018;8;August
2018-08-15;Credit Card Payment;269,56;ingreso;Credit Card Payment;Silver Card;2018;8;August
2018-08-15;Credit Card Payment;159,38;ingreso;Credit Card Payment;Platinum Card;2018;8;August
2018-08-15;Shell;41,07;gasto;Gas & Fuel;Platinum Card;2018;8;August
2018-08-15;Grocery Store;5,64;gasto;Groceries;Platinum Card;2018;8;August
2018-08-15;Power Company;60,0;gasto;Utilities;Checking;2018;8;August
2018-08-16;Credit Card Payment;269,56;gasto;Credit Card Payment;Checking;2018;8;August
2018-08-16;City Water Charges;35,0;gasto;Utilities;Checking;2018;8;August
2018-08-17;Biweekly Paycheck;2000,0;ingreso;Paycheck;Checking;2018;8;August
2018-08-17;Amazon;14,98;gasto;Shopping;Platinum Card;2018;8;August
2018-08-18;Amazon;23,47;gasto;Shopping;Platinum Card;2018;8;August
2018-08-20;State Farm;75,0;gasto;Auto Insurance;Checking;2018;8;August
2018-08-21;Credit Card Payment;34,18;ingreso;Credit Card Payment;Silver Card;2018;8;August
2018-08-21;Credit Card Payment;99,76;ingreso;Credit Card Payment;Platinum Card;2018;8;August
2018-08-21;Credit Card Payment;99,76;gasto;Credit Card Payment;Checking;2018;8;August
2018-08-22;Credit Card Payment;34,18;gasto;Credit Card Payment;Checking;2018;8;August
2018-08-24;American Tavern;42,31;gasto;Restaurants;Platinum Card;2018;8;August
2018-08-27;Internet Service Provider;74,99;gasto;Internet;Checking;2018;8;August
2018-08-30;Shell;35,65;gasto;Gas & Fuel;Platinum Card;2018;8;August
2018-08-31;Grocery Store;11,64;gasto;Groceries;Platinum Card;2018;8;August
2018-08-31;Biweekly Paycheck;2000,0;ingreso;Paycheck;Checking;2018;8;August
2018-09-01;Brewing Company;47,4;gasto;Alcohol & Bars;Platinum Card;2018;9;September
2018-09-01;Amazon;13,13;gasto;Shopping;Platinum Card;2018;9;September
2018-09-02;Amazon;109,83;gasto;Shopping;Platinum Card;2018;9;September
2018-09-04;Credit Card Payment;687,29;ingreso;Credit Card Payment;Platinum Card;2018;9;September
2018-09-04;Credit Card Payment;687,29;gasto;Credit Card Payment;Checking;2018;9;September
2018-09-04;Mortgage Payment;1247,44;gasto;Mortgage & Rent;Checking;2018;9;September
2018-09-04;Netflix;11,76;gasto;Movies & DVDs;Platinum Card;2018;9;September
2018-09-07;Gas Company;30,0;gasto;Utilities;Checking;2018;9;September
2018-09-09;Brewing Company;18,0;gasto;Alcohol & Bars;Platinum Card;2018;9;September
2018-09-09;Spotify;10,69;gasto;Music;Platinum Card;2018;9;September
2018-09-11;BP;38,86;gasto;Gas & Fuel;Platinum Card;2018;9;September
2018-09-11;Grocery Store;7,87;gasto;Groceries;Platinum Card;2018;9;September
2018-09-12;Grocery Store;47,16;gasto;Groceries;Platinum Card;2018;9;September
2018-09-12;Phone Company;89,4;gasto;Mobile Phone;Checking;2018;9;September
2018-09-13;Grocery Store;5,64;gasto;Groceries;Platinum Card;2018;9;September
2018-09-14;Credit Card Payment;134,34;ingreso;Credit Card Payment;Platinum Card;2018;9;September
2018-09-14;Biweekly Paycheck;2000,0;ingreso;Paycheck;Checking;2018;9;September
2018-09-17;Grocery Store;10,17;gasto;Groceries;Platinum Card;2018;9;September
2018-09-17;Grocery Store;8,8;gasto;Groceries;Platinum Card;2018;9;September
2018-09-17;City Water Charges;35,0;gasto;Utilities;Checking;2018;9;September
